id,budget,production_companies,production_countries,revenue,spoken_languages,genres,runtime,tagline,crew,cast-name
1011516,0,"['AGC Studios', 'MacPac Entertainment', 'CatchLight Studios']",['United States of America'],0,['English'],"['Comedy', 'Fantasy', 'Family']",87,Time changes everything.,"{'Director': 'Christian Ditter', 'Writer': 'Jay Martel', 'Production Designer': 'Evaline Wu Huang', 'Casting': 'Lisa Zagoria', 'Editor': 'Kristine McPherson', 'Director of Photography': 'Jon Chema'}","['Isla Fisher', 'Greg Kinnear', 'Ryan Guzman', 'Shay Rudolph', 'Alphonso McAuley', 'David Sheftell', 'Amir Talai', 'Mason Shea Joyce', 'Easton Rocket Sweda']"
1290377,0,"['2-Team Productions', 'Likely Story']","['Israel', 'Italy']",0,['Hebrew'],[],107,,"{'Director': 'Tom Nesher', 'Writer': 'Tom Nesher', 'Producer': 'Estee Yacov-Mecklberg', 'Cinematography': 'Shai Peleg', 'Music': 'Ginevra Nervi', 'Editor': 'Shauly Melamed'}","['Lia Elalouf', 'Darya Rosenn', 'Netta Garti', 'Jacob Zada Daniel', 'Shlomi Shaban', 'Ido Tako', 'Ofek Pesach', 'Yael Shoshana Cohen']"
1294966,0,"['Zen Movie', 'Nuovo Imaie', 'Apulia Film Commission']",['Italy'],0,[],['Documentary'],0,,"{'Director': 'Giulio Mastromauro', 'Writer': 'Giulio Mastromauro', 'Camera Department Manager': 'Sandro Chessa'}",[]
1055338,0,"['Jeetz Filmworks', 'Grassroot Entertainment Pvt. Ltd.']",['India'],0,['Bengali'],"['Comedy', 'Science Fiction']",0,,"{'Producer': 'Gopal Madnani', 'Director': 'Sauvik Kundu'}","['Jeet', 'Rukmini Maitra', 'Kharaj Mukherjee', 'Rajatabha Dutta', 'Saurav Das', 'Debchandrima Singha Roy', 'Ambarish Bhattacharya', 'Ayesha Bhattacharya', 'Shyamal Chakraborty', 'Biswanath Basu']"
1268603,0,['Shark Island Productions'],['Australia'],0,['English'],['Documentary'],97,everyone is equal in their swimsuits,"{'Director': 'Ian Darling', 'Producer': 'Mary Macrae', 'Cinematography': 'Ben Cunningham', 'Editor': 'Sally Fryer', 'Executive Producer': 'Geralyn White Dreyfous', 'Music': 'Paul Charlier'}",[]
971968,0,"['Fin Août Productions', 'Tarantula', 'Orange Studio']","['Belgium', 'France']",0,['French'],"['Drama', 'History']",102,,"{'Director': 'Jessica Palud', 'Screenplay': 'Laurette Polmanss', 'Casting': 'Stéphanie Doncker', 'Novel': 'Vanessa Schneider', 'Director of Photography': 'Sébastien Buchmann', 'Editor': 'Thomas Marchand', 'Costume Design': 'Alexia Crisp-Jones', 'Key Makeup Artist': 'Karine Meyer', 'First Assistant Director': 'Nathalie Nouaili', 'Sound': 'Jean-Marie Blondel', 'Boom Operator': 'Juliette Mathy', 'Assistant Editor': 'Emmanuelle Joly', 'Script Supervisor': 'Louise Albon', 'Second Assistant Director': 'Alice Dautcourt', 'Producer': 'Marielle Duigou', 'Still Photographer': 'Guy Ferrandis', 'Executive Producer': 'Alex C. Lo', 'Music': 'Benjamin Biolay'}","['Anamaria Vartolomei', 'Céleste Brunnquell', 'Matt Dillon', 'Marie Gillain', 'Yvan Attal', 'Stanislas Merhar', 'Jérémy Charvet', 'Giuseppe Maggio', 'Alexis Corso', 'Alexandre Ionescu', 'Swann Dupont', 'Patrice Tepasso', 'Aurélie Garault']"
1279379,0,[],['Czech Republic'],0,['Czech'],"['Romance', 'Comedy']",0,,"{'Director': 'Eva Toulová', 'Screenplay': 'Eva Toulová', 'Dramaturgy': 'Šimon Pečenka', 'Director of Photography': 'Pavel Mědílek', 'Editor': 'Anežka Kružíková', 'Makeup & Hair': 'Elen Yermachenko', 'Sound': 'Tomáš Oramus', 'Production Manager': 'Lenka Křivánková'}","['Eva Toulová', 'Martin Kraus', 'Jiří Krampol', 'Václav Vydra', 'Valérie Zawadská', 'Jaromír Nosek', 'Igor Bareš', 'Uršula Kluková', 'Marie Kružíková', 'Petr Batěk', 'Václav Krejčí', 'Eva Hrušková', 'Petr Jančařík', 'Jana Vaculíková', 'Tereza Němcová', 'Ian Adensam', 'Lucie Ottová', 'Martin Jan Šverma']"
1129610,0,"['CloverWorks', 'Aniplex', 'Houbunsha']",['Japan'],0,['Japanese'],"['Animation', 'Comedy', 'Music']",0,,"{'Director': 'Keiichiro Saito', 'Series Composition': 'Erika Yoshida', 'Screenplay': 'Erika Yoshida', 'Character Designer': 'Kerorira', 'Supervising Animation Director': 'Kerorira', 'Assistant Director': 'Yuusuke Yamamoto', 'Prop Designer': 'Ayumi Nagaki', '2D Artist': 'Aoi Umeki', 'Art Direction': 'Yasunao Moriyasu', 'Color Designer': 'Asuka Yokota', 'Art Designer': 'taracod', 'Director of Photography': 'Tsubasa Kanamori', 'CGI Director': 'Katsuaki Miyaji', 'Editor': 'Daisuke Hiraki', 'Original Music Composer': 'Tomoki Kikuya', 'Sound Director': 'Akiko Fujita', 'Sound Effects': 'Shota Yaso', 'Comic Book': 'Aki Hamaji'}","['Yoshino Aoyama', 'Sayumi Suzushiro', 'Saku Mizuno', 'Ikumi Hasegawa']"
1275886,0,"['Ley Line Entertainment', 'Ten Acre Films', 'Unapologetic Projects']",['United States of America'],0,['English'],"['Comedy', 'Drama']",90,,"{'Director': 'Yen Tan', 'Screenplay': 'Clay Liford', 'Producer': 'Theresa Steele Page', 'Co-Producer': 'John Hermann', 'Executive Producer': 'Chris Quintos Cathcart', 'Cinematography': 'Jon Keng', 'Editor': 'Yang-Hua Hu', 'Production Design': 'Angelique Clark', 'Costume Design': 'Amanda Wing Yee Lee', 'Casting Director': 'Charlene Lee'}","['Margaret Cho', 'Jesse Tyler Ferguson', 'Kenneth Choi', 'Alice Lee', 'Atsuko Okatsuka', 'Missi Pyle', 'Devon Bostick']"
1291764,0,[],[],0,[],[],19,,"{'Director': 'Brea Grant', 'Writer': 'Ed Dougherty'}","['Jessika Van', 'Barbara Crampton', 'Courtney Pauroso']"
1177157,0,['Aurum Arts'],['India'],0,['Telugu'],"['Crime', 'Thriller', 'Drama']",0,,"{'Director': 'Suman Chikkala', 'Writer': 'Suman Chikkala', 'Screenplay': 'Sashi Kiran Tikka', 'Original Music Composer': 'Sricharan Pakala', 'Editor': 'Kodati Pavan Kalyan', 'Public Relations': 'GSK Media Kumar', 'Publicist': 'Uday Bhanu Avirineni', 'Sound Mixer': 'Kannan Ganpat', 'Director of Photography': 'Vishnu Besi', 'Story': 'Prashanth Reddy Motadoo', 'Costume Designer': 'Rekha Boggarapu', 'Production Design': 'Rohan Singh', 'Lyricist': 'Chandrabose', 'Presenter': 'Sashi Kiran Tikka', 'Creative Producer': 'Rajiv Bharadwaj', 'Playback Singer': 'M.M. Keeravaani', 'Producer': 'Srinivas Rao Takkalapelly'}","['Kajal Agarwal', 'Naveen Chandra', 'Prakash Raj', 'Ravi Varma', 'Harshavardhan', 'Nagineedu Vellanki', 'Ankith Koyya', 'Neha Pathan', 'Prajwal Yadma', 'Anirudh Pavitran', 'Sampaada N']"
978035,0,"['Srab Films', 'Rectangle Productions', 'Le Pacte', 'Panache Productions', 'France 2 Cinéma', 'BeTV', 'VOO', 'France Télévisions', 'Canal+', 'Ciné+', 'La Compagnie Cinématographique', 'Proximus', 'CNC', 'Lyly Films']","['Belgium', 'France']",923919,"['English', 'Arabic', 'French']",['Drama'],101,,"{'Director': 'Ladj Ly', 'Screenplay': 'Giordano Gederlini', 'Producer': 'Christophe Barral', 'Director of Photography': 'Julien Poupard', 'Casting Director': 'Léa Moszkowicz', 'Third Assistant Director': 'Louise Delécaut', 'First Assistant Director': 'Arthur Guerrand', 'Second Assistant Director': 'Pierre Lagardère', 'Stunts': 'Nicolas Pauget', 'Stunt Coordinator': 'Jérôme Gaspard', 'Stunt Double': 'Lucile Perez', 'Electrician': 'Nicolas Pautrel', 'Grip': 'Thibault David', '""A"" Camera Operator': 'Thomas Burgess', 'Steadicam Operator': 'Thomas Burgess', 'Video Assist Operator': 'Céline Deniard', 'Drone Operator': 'Jorge Escribens', 'Key Grip': 'Robin Gaillard', 'Gaffer': 'Julien Gallois', 'Still Photographer': 'Laurent le Crabe', 'Script Supervisor': 'Jeanne Fontaine-Sarda', 'Script': 'Francis Chillet', 'Editor': 'Flora Volpelière', 'Casting': 'Dez Epane', 'Costume Design': 'Noémie Veissier', 'Sound Mixer': 'Dorian Racine', 'Visual Effects Producer': 'Quentin H. Martin', 'Production Design': 'Karim Lagati', 'Sound': 'Marco Casanova', 'Music': 'Pink Noise', 'Boom Operator': 'Lucas Héberlé', 'Special Effects Technician': 'Bruno Lefebvre', 'Visual Effects Supervisor': 'Stéphane Bidault', 'Assistant Art Director': 'Caroline Leroy', 'Production Manager': 'Yuki Kuroda', 'Assistant Production Manager': 'Abigail Nkaly', 'First Assistant Accountant': 'Lucien Scoubart', 'Art Direction': 'Karim Lagati', 'Assistant Editor': 'Magali Todeschi', 'Casting Associate': 'Lysandre Mbappé'}","['Anta Diaw', 'Alexis Manenti', 'Jeanne Balibar', 'Steve Tientcheu', 'Valentin Pradier', 'Aristote Luyindula', 'Aurélia Petit', 'Judy Al Rashi', 'Mohamam Al Rashi', 'Djeneba Diallo', 'Gladys Chauvellier', 'Nizar Ben Fatma', 'Olivier Pierre Richard', 'Stefan Godin', 'Carima Amarouche', 'Madeleine Baudot', 'François Pérache', 'Eladj Ly', 'Haby Ly', 'Corinne Valancogne', 'Bangali Konate', 'Manon Arizmendi', 'Nathan Haggege']"
