,id,original_language,popularity,release_date,title,vote_average,vote_count,budget,revenue,runtime,director,actor1,actor2,production_company,production_country,genre
720,1103789,nl,4.263,2023-11-09,Hardcore Never Dies,6.7,21,0,0,108,Jim Taihuttu,Joes Brauers,Jim Deddes,New Amsterdam Film Company,Netherlands,Crime
721,1213871,ar,2.13,2024-06-19,Six Feet Over,0.0,0,0,0,96,Karim Bensalah,Hamza Meziani,Kader Affak,Tact Production,Algeria,Comedy
722,1075815,en,4.249,2023-10-06,Joan Baez: I Am a Noise,6.6,8,0,630000,113,Maeve O'Boyle,Joan Baez,Mimi Fariña,Mead Street Films,United States of America,Documentary
769,1159367,ku,2.108,2024-06-16,Love in the Time of Corona,0.0,0,0,0,100,Shwan Attoof,Mahir Hasan,Ahmad Jola,So Production,Iraq,Comedy
791,1128836,id,3.405,2024-01-11,Till Death Do Us Part,5.2,3,0,0,108,Upi Avianto,Laura Basuki,Ario Bayu,Starvision Plus,Indonesia,Horror
798,1231180,de,3.473,2024-03-14,The Glory of Life,7.0,2,0,947881,98,Georg Maas,Henriette Confurius,Sabin Tambrea,Tempest Film,Germany,Drama
799,1000888,fr,3.746,2024-06-26,Plastic Guns,0.0,0,0,0,95,Jean-Christophe Meurisse,Delphine Baril,Charlotte Laemmel,Mamma Roman,France,Drama
824,1147750,fr,2.725,2024-06-26,Camping du Lac,0.0,0,0,0,69,Éléonore Saintagnan,Jean-Benoît Ugeux,Éléonore Saintagnan,Michigan Films,Belgium,Drama
829,1283688,tl,1.972,2024-06-26,A Thousand Forests,0.0,0,0,0,120,Hanz Florentino,Dennah Bautista,James Mavie Estrella,I.Syoot Multimedia Production,Philippines,Music
830,1291307,pt,3.308,2024-06-14,The Messenger,0.0,0,0,0,140,Cláudio Marques,Clara Paixão,Daniel Farias,Coisa de Cinema,Brazil,Thriller
843,1078009,en,2.714,2024-06-26,Addy Daddy,0.0,0,25000,0,118,Patrick VanZandt,Jared Trevino,Lexi Simonsen,Big Hug Picture & Sound,United States of America,Drama
849,1195810,es,2.693,2024-06-13,El Mirador,0.0,0,0,0,76,Diego Hernández,Annya Katerina,Guillermo López,Violeta Cine,Mexico,Comedy
852,1267521,zh,3.416,2024-06-15,The Coming Days,0.0,0,0,0,103,Guo Ke,Caiping Wang,Chen Yi Sha,四川光影深处文化传播有限公司,China,Drama
856,999147,sr,2.326,2023-10-11,Lost Country,6.9,4,1100000,0,98,Vladimir Perišić,Jovan Ginić,Jasna Đuričić,KinoElektron,Croatia,Drama
859,1279433,pl,3.043,2024-06-19,Inheritance,0.0,0,0,0,94,Sylwester Jakimow,Jan Peszek,Maciej Stuhr,Orphan Studio,Poland,Comedy
866,956704,te,3.377,2024-05-31,Gam Gam Ganesha,0.0,0,0,0,133,Uday Bommisetty,Anand Deverakonda,Pragati Srivastava,Hylife Entertainment,India,Action
870,1205386,ja,1.848,2024-03-01,52-Hertz Whales,1.0,1,0,0,135,Izuru Narushima,Hana Sugisaki,Jun Shison,GAGA Corporation,Japan,Drama
881,1138885,id,1.398,2024-03-21,Kukejar Mimpi,0.0,0,0,0,99,Indra Gunawan,Aisyah Aqilah,Raisya Bawazier,Kompas Gramedia Studio,Indonesia,Drama
891,1248951,ru,3.167,2024-06-20,Tour with Ivanushki,0.0,0,0,0,105,Nikita Abdulov,Agata Mutsenietse,Anna Peskova,Monumental Pictures,Russia,Comedy
899,1045273,es,2.987,2022-11-04,Three Brothers,3.0,4,0,0,86,Francisco Joaquín Paparella,Andy Gorostiaga,Ulices Yanzón,Río Azul Films,Argentina,Drama
905,1252371,ko,3.056,2024-04-03,Yumi's Cells the Movie,0.0,0,0,0,93,Kim Da-hee,Yoon Ah-young,Shin Beom-sik,Studio N,South Korea,Animation
908,156162,en,3.048,1992-09-24,Blinky Bill,5.7,5,0,0,93,Yoram Gross,Keith Scott,Robyn Moore,Yoram Gross Films,Australia,Family
911,1177316,fr,2.996,2024-06-19,Nouveau monde,0.0,0,0,0,75,Vincent Cappello,Sandor Funtek,Rohid Rahimi,120 Prods,France,Drama
922,1283181,gu,2.902,2024-06-21,Trisha on the Rocks,0.0,0,0,0,172,Krishnadev Yagnik,Janki Bodiwala,Ravi Gohil,Big Box Series,India,Comedy
924,1286409,en,2.671,2024-06-20,The Life of Sean DeLear,0.0,0,0,0,82,Markus Zizenbacher,Sean DeLear,Ann Magnuson,sixpackfilm,Austria,Documentary
951,1131374,bs,1.907,2023-10-26,Excursion,7.0,1,0,0,93,Una Gunjak,Asja Zara Lagumdžija,Nađa Spaho,Film House Baš Čelik,Bosnia and Herzegovina,Drama
989,885246,nl,2.341,2024-03-13,Skunk,8.0,1,0,0,105,Koen Mortier,Thibaud Dooms,Natali Broods,Frakas Productions,Belgium,Drama
999,1118836,fr,2.202,2024-06-26,The Child Who Measured the World,0.0,0,3500000,0,104,Takis Candilis,Bernard Campan,Maria Apostolakea,Roméo Drive Productions,Belgium,Drama
